Team Number, 649
Match Number, 1
Scouter Name, bs needfuli
Defenses on Field, LB, PC, M, SP, RW
Spy Zone, False
Auto Reaches Defense, True
Auto Crosses Defense,   
Auto High Goal Shots, 
Auto Low Goal Shots, 
Difficulty to Cross LB, 0 
Difficulty to Cross PC, 1 
Difficulty to Cross M, 1 1 1 3 
Difficulty to Cross SP, 1 3 
Difficulty to Cross RW, 2 1 
Teleop High Goal Shots, 1 1 0 0 
Teleop Low Goal Shots, 1 0 0 
Shots Blocked, 
Total Points, 50
Play Defense, True
End Game, N, B
Result, Lose
Notes, siding zl futurity DVD shrieking siding zl futurity DVD shrieking siding zl futurity DVD shriekingsiding zl futurity DVD shriekingsiding zl futurity DVD shrieking
